This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196603,   -0.88,    0.14,   -2.00,   -1.79,   -2.69,   -0.51,   -2.04,   -2.08,   -1.92,   -2.25,   -1.32,   -2.66,   -2.71,   -0.19,   -0.89,   -1.00,   -2.93
196604,    5.95,    3.69,    4.17,    4.19,    5.03,    3.94,    5.17,    3.90,    4.44,    3.30,    5.11,    4.99,    5.08,    3.83,    4.07,    4.84,    5.45
196605,   -8.90,   -9.21,   -7.53,   -7.50,   -7.31,   -9.35,   -9.08,   -6.80,   -8.27,   -7.35,   -7.66,   -6.90,   -7.70,   -9.25,   -9.46,   -8.30,   -9.76
196606,    0.44,   -1.15,    0.09,   -0.86,   -0.07,   -0.98,    0.17,    1.68,   -1.52,   -1.82,    0.15,   -0.25,    0.10,   -1.11,   -0.83,    0.38,    0.00
196607,   -1.70,   -1.50,   -1.14,   -1.17,   -0.88,   -1.73,   -2.49,   -1.19,   -1.10,   -1.20,   -1.15,   -0.53,   -1.22,   -1.96,   -1.53,   -2.90,   -2.12
196608,   -9.30,  -10.37,   -9.23,   -8.94,  -10.33,   -9.87,  -10.19,   -9.38,   -9.10,   -8.48,   -9.35,   -9.88,  -10.75,  -10.02,   -9.74,   -9.48,  -10.82
196609,   -0.88,   -1.49,   -0.96,   -0.67,   -2.13,   -3.01,   -3.19,   -2.04,   -0.01,   -0.73,   -0.61,   -2.44,   -1.83,   -3.61,   -2.48,   -2.70,   -3.64
196610,   -0.66,   -2.07,    1.21,    0.14,   -0.20,   -0.58,   -2.69,    2.87,   -0.24,    0.34,   -0.04,    0.33,   -0.70,    0.57,   -1.59,   -2.25,   -3.08
196611,    2.35,    2.28,    3.92,    3.39,    4.56,    6.10,    6.92,    2.83,    4.88,    4.04,    2.82,    4.44,    4.67,    4.32,    7.68,    5.16,    8.49
196612,    1.12,    2.12,    1.91,    1.23,    2.03,    0.80,    2.75,    0.44,    3.20,    0.92,    1.49,    1.81,    2.23,    1.18,    0.47,    2.23,    3.20
196701,   16.58,   17.70,   15.44,   14.57,   16.47,   16.27,   18.42,   14.81,   16.00,   13.03,   15.93,   16.13,   16.78,   16.89,   15.73,   17.31,   19.41
196702,    4.42,    5.91,    1.90,    2.98,    2.39,    3.64,    4.47,    0.82,    2.85,    1.90,    3.93,    2.04,    2.72,    3.98,    3.34,    4.09,    4.81
196703,    4.90,    5.01,    5.96,    5.85,    7.51,    5.42,    6.47,    6.56,    5.44,    5.61,    6.05,    8.21,    6.84,    6.62,    4.36,    5.32,    7.49
196704,    4.76,    4.07,    4.43,    3.97,    4.93,    4.62,    4.10,    3.91,    4.89,    2.63,    5.16,    4.12,    5.70,    7.28,    2.27,    4.13,    4.08
196705,   -0.47,   -0.47,   -2.53,   -2.46,   -1.63,   -1.18,   -0.69,   -2.64,   -2.43,   -2.46,   -2.46,   -2.22,   -1.06,   -2.44,   -0.05,   -0.29,   -1.04
196706,    8.35,    9.06,    6.05,    4.97,    6.48,    7.41,    9.38,    5.03,    6.94,    4.15,    5.69,    5.48,    7.41,    8.08,    6.82,    7.65,   10.89
196707,    9.04,    8.72,    9.14,    6.57,    6.35,    8.16,    8.00,    8.62,    9.72,    6.17,    6.93,    7.79,    4.99,    9.34,    7.19,    5.84,    9.63
196708,    0.77,    0.98,    0.63,    0.42,   -0.40,   -0.33,   -0.48,    0.81,    0.44,    0.25,    0.57,   -0.61,   -0.21,   -1.57,    0.68,   -0.31,   -0.60
196709,    6.59,    6.76,    4.11,    5.04,    5.23,    5.84,    5.83,    3.75,    4.52,    6.78,    3.48,    5.16,    5.29,    5.62,    6.03,    5.27,    6.26
196710,   -1.25,   -1.22,   -3.69,   -2.76,   -3.80,   -2.73,   -3.19,   -3.76,   -3.62,   -3.82,   -1.81,   -4.31,   -3.31,   -3.78,   -1.86,   -4.22,   -2.40
196711,    0.47,   -0.40,   -0.15,    0.06,    0.27,    0.48,    0.55,   -0.65,    0.41,    0.51,   -0.34,    0.82,   -0.25,    0.52,    0.45,    1.63,   -0.26
196712,    7.20,    8.40,    6.37,    5.84,    7.42,    8.93,    8.27,    6.42,    6.32,    5.76,    5.91,    8.44,    6.44,    7.97,    9.73,    6.90,    9.31
196801,    2.99,    5.19,    0.93,   -0.69,   -0.72,   -1.52,   -1.04,    2.25,   -0.51,   -0.90,   -0.50,    1.27,   -2.60,   -1.75,   -1.33,   -1.04,   -1.04
196802,   -4.92,   -5.63,   -3.97,   -4.56,   -4.95,   -6.98,   -7.20,   -4.11,   -3.83,   -4.71,   -4.42,   -5.71,   -4.22,   -6.54,   -7.34,   -7.11,   -7.27
196803,   -0.43,   -2.12,   -0.57,   -0.07,   -0.52,   -1.19,   -0.70,   -1.29,    0.20,   -0.71,    0.51,   -1.15,    0.08,   -1.86,   -0.63,    1.64,   -2.47
196804,   13.75,   14.59,   11.95,   13.72,   13.73,   15.82,   14.07,   11.57,   12.36,   13.03,   14.33,   13.21,   14.22,   15.39,   16.17,   13.82,   14.26
196805,    8.33,   10.89,    6.23,    6.66,    8.41,    8.21,    8.47,    7.08,    5.31,    5.35,    7.84,    8.92,    7.92,    7.43,    8.84,    5.73,   10.54
196806,    2.33,    2.45,    1.76,    1.97,    0.11,    0.04,    0.88,    2.33,    1.14,    3.55,    0.57,   -0.31,    0.50,    0.26,   -0.14,    1.41,    0.48
196807,   -1.73,   -0.86,   -2.21,   -3.88,   -4.56,   -3.07,   -6.61,   -1.52,   -2.81,   -3.71,   -4.07,   -4.81,   -4.30,   -1.99,   -4.13,   -5.78,   -7.27
196808,    3.65,    4.77,    3.23,    3.13,    4.22,    2.00,    1.80,    3.35,    3.11,    2.84,    3.46,    3.57,    4.88,    2.13,    1.87,    1.29,    2.20
196809,    6.24,    7.74,    5.03,    7.26,    6.75,    7.45,    7.48,    4.56,    5.43,    7.49,    6.99,    6.98,    6.51,    7.89,    7.02,    6.80,    8.01
196810,    1.70,    0.69,    1.59,    1.13,    0.44,   -0.17,   -0.62,    2.00,    1.22,    0.00,    2.39,   -0.79,    1.70,    0.31,   -0.64,   -0.54,   -0.67
196811,    6.31,    6.62,    6.59,    6.45,    7.36,    8.71,    8.14,    7.28,    5.99,    6.81,    6.05,    6.88,    7.86,    9.18,    8.25,    7.63,    8.55
196812,    0.99,    1.88,   -0.35,   -1.10,   -1.20,    0.27,   -1.17,   -1.75,    0.88,   -0.15,   -2.17,   -0.98,   -1.43,    0.13,    0.41,   -1.94,   -0.57
196901,   -0.15,    0.33,    0.69,   -1.27,   -1.02,   -0.93,   -2.02,    1.33,    0.13,   -0.13,   -2.55,   -0.27,   -1.79,   -1.08,   -0.78,   -1.69,   -2.28
196902,   -8.01,   -8.39,   -7.24,   -7.24,   -7.92,   -9.59,   -9.96,   -6.52,   -7.86,   -8.01,   -6.37,   -8.36,   -7.47,  -10.09,   -9.11,   -8.81,  -10.86
196903,    2.58,    2.31,    2.15,    1.63,    1.90,    2.74,    1.63,    2.96,    1.43,    0.64,    2.74,    1.19,    2.63,    2.92,    2.57,    1.92,    1.41
196904,    0.44,    0.70,    0.99,    0.80,    0.73,    0.49,   -0.23,    1.93,    0.16,    0.77,    0.83,    1.23,    0.23,    0.26,    0.72,    0.32,   -0.67
196905,    1.75,    1.25,    0.49,    1.11,    0.36,   -1.68,   -1.23,   -0.13,    1.05,    1.21,    1.01,    1.44,   -0.75,   -1.19,   -2.16,   -0.31,   -1.96
196906,  -10.89,  -10.93,   -9.64,  -10.88,  -11.07,  -11.61,  -12.06,   -9.20,  -10.04,  -10.72,  -11.05,  -11.18,  -10.96,  -11.71,  -11.51,  -10.08,  -13.63
196907,   -9.01,   -8.68,   -7.64,   -8.36,   -9.63,   -9.96,  -11.45,   -7.59,   -7.68,   -8.53,   -8.18,   -9.98,   -9.30,   -8.77,  -11.05,  -11.31,  -11.56
196908,    4.78,    3.19,    3.60,    5.19,    5.84,    6.33,    6.43,    3.48,    3.71,    4.28,    6.12,    4.19,    7.39,    7.02,    5.71,    5.63,    7.05
196909,   -2.12,   -1.68,   -2.25,   -2.04,   -1.26,   -3.34,   -3.17,   -1.05,   -3.38,   -0.78,   -3.33,   -0.81,   -1.68,   -2.21,   -4.37,   -1.96,   -4.12
196910,    7.97,    8.99,    8.06,    9.30,    9.17,    9.81,   12.16,    7.79,    8.31,    9.45,    9.14,    9.85,    8.53,    9.25,   10.32,    9.55,   14.20
196911,   -4.42,   -5.21,   -4.85,   -5.10,   -4.44,   -6.35,   -7.59,   -5.00,   -4.71,   -5.14,   -5.05,   -4.04,   -4.82,   -6.82,   -5.92,   -7.09,   -7.99
196912,   -5.15,   -6.89,   -5.81,   -4.95,   -5.46,   -7.03,   -7.49,   -5.48,   -6.12,   -4.75,   -5.17,   -4.73,   -6.14,   -6.56,   -7.46,   -6.20,   -8.50
197001,   -4.17,   -1.70,   -3.80,   -3.72,   -4.17,   -4.64,   -6.29,   -3.23,   -4.34,   -3.29,   -4.16,   -4.95,   -3.45,   -5.02,   -4.30,   -6.03,   -6.49
197002,    4.12,    5.03,    4.82,    4.93,    4.55,    3.15,    3.68,    5.51,    4.17,    4.56,    5.32,    3.89,    5.17,    3.98,    2.40,    3.10,    4.14
197003,   -0.07,   -1.08,    0.16,   -1.94,   -2.15,   -2.88,   -5.41,    0.24,    0.09,   -1.35,   -2.55,   -1.28,   -2.95,   -2.34,   -3.38,   -4.64,   -6.01
197004,  -12.76,  -13.86,  -13.32,  -14.40,  -16.45,  -17.37,  -19.95,  -12.74,  -13.86,  -14.17,  -14.63,  -15.58,  -17.25,  -17.18,  -17.54,  -18.77,  -20.88
197005,   -8.01,   -7.89,   -7.11,   -9.02,   -8.82,   -9.50,  -11.48,   -6.81,   -7.39,   -9.10,   -8.93,   -8.86,   -8.79,  -10.43,   -8.65,  -10.99,  -11.87
197006,   -5.53,   -5.46,   -7.20,   -6.01,   -7.07,   -9.20,  -10.70,   -6.16,   -8.17,   -5.67,   -6.37,   -8.08,   -6.12,   -8.28,  -10.06,   -8.94,  -12.09
197007,    6.37,    6.04,    6.46,    4.74,    5.63,    6.96,    5.40,    6.73,    6.23,    4.60,    4.87,    6.95,    4.29,    5.58,    8.13,    6.62,    4.55
197008,    4.79,    5.52,    5.61,    6.58,    6.73,    6.97,    7.46,    4.67,    6.42,    6.03,    7.13,    6.25,    7.21,    6.63,    7.25,    7.02,    7.77
197009,    9.88,   11.54,    8.62,   13.26,   12.61,   13.07,   17.08,    8.84,    8.44,   13.62,   12.89,   12.56,   12.66,   14.24,   12.08,   13.80,   19.36
197010,   -4.57,   -5.02,   -4.80,   -5.87,   -6.61,   -6.07,   -8.41,   -4.34,   -5.19,   -6.19,   -5.55,   -5.61,   -7.61,   -6.97,   -5.30,   -7.27,   -9.19
197011,    0.78,   -0.01,    0.68,    1.06,    1.46,    1.12,   -0.78,    1.57,   -0.08,    1.73,    0.38,    1.24,    1.68,    1.05,    1.17,    0.94,   -1.99
197012,    9.84,    8.43,    8.39,    8.92,    8.14,    7.82,    8.47,    8.25,    8.52,    9.87,    7.96,    7.50,    8.78,    7.53,    8.06,    8.23,    8.64
197101,   11.91,   15.09,   11.62,   12.71,   14.62,   12.71,   14.42,   10.62,   12.46,   12.56,   12.86,   13.74,   15.50,   12.84,   12.60,   14.19,   14.59
197102,    4.30,    4.41,    3.13,    4.13,    4.60,    4.29,    5.93,    1.84,    4.21,    4.87,    3.40,    3.87,    5.33,    3.67,    4.81,    4.58,    6.88
197103,    5.17,    4.22,    5.26,    6.76,    5.53,    6.11,    6.28,    5.20,    5.30,    6.29,    7.22,    6.17,    4.89,    6.71,    5.60,    5.78,    6.63
197104,    2.28,    2.13,    1.66,    3.41,    3.93,    2.67,    2.76,    2.07,    1.32,    2.84,    3.98,    4.18,    3.68,    2.45,    2.86,    3.38,    2.32
197105,   -4.23,   -4.78,   -4.30,   -5.06,   -4.34,   -5.83,   -6.28,   -4.39,   -4.22,   -4.82,   -5.31,   -4.01,   -4.67,   -5.64,   -6.00,   -4.75,   -7.35
197106,   -1.57,   -2.28,   -1.45,   -1.27,   -1.97,   -1.06,   -2.03,   -0.40,   -2.33,   -1.42,   -1.11,   -1.48,   -2.48,   -1.91,   -0.35,   -2.78,   -1.51
197107,   -5.48,   -5.37,   -4.93,   -5.28,   -6.03,   -6.74,   -6.54,   -4.63,   -5.17,   -4.65,   -5.83,   -6.24,   -5.81,   -6.33,   -7.18,   -5.41,   -7.25
197108,    4.60,    5.05,    4.57,    4.61,    4.32,    5.26,    3.20,    5.05,    4.19,    4.67,    4.55,    5.02,    3.60,    5.81,    4.67,    2.58,    3.58
197109,   -0.51,   -0.87,   -0.41,   -1.20,   -0.24,   -0.03,   -0.15,   -1.59,    0.58,   -0.40,   -1.91,   -1.45,    0.97,    1.00,   -1.13,    1.09,   -0.93
197110,   -6.43,   -5.05,   -5.50,   -5.49,   -5.82,   -6.20,   -6.13,   -5.13,   -5.82,   -5.17,   -5.78,   -6.53,   -5.11,   -7.30,   -5.03,   -4.51,   -7.15
197111,   -3.41,   -4.36,   -2.42,   -2.81,   -2.59,   -2.83,   -3.36,   -2.26,   -2.55,   -2.05,   -3.48,   -2.70,   -2.47,   -2.52,   -3.17,   -2.78,   -3.72
197112,   12.66,   10.99,   11.84,   10.38,   12.91,   12.91,   13.33,   12.49,   11.30,    9.97,   10.75,   13.34,   12.47,   12.54,   13.31,   11.24,   14.62
197201,   10.93,   13.11,    8.10,    9.08,    8.79,    9.55,    8.91,    6.91,    9.09,    7.38,   10.57,    7.83,    9.74,   10.58,    8.45,    7.45,    9.82
197202,    4.15,    3.73,    4.64,    4.47,    4.67,    5.21,    3.17,    3.66,    5.45,    3.95,    4.92,    3.97,    5.38,    6.29,    4.06,    1.34,    4.31
197203,    0.58,    0.25,    0.21,    0.86,    0.13,   -0.12,   -1.81,   -0.85,    1.09,    0.18,    1.46,    1.25,   -0.99,    1.38,   -1.71,   -2.01,   -1.68
197204,    1.55,   -0.11,    0.43,   -0.48,    0.36,    1.29,   -1.08,    0.93,    0.02,    0.07,   -0.96,    0.38,    0.34,    1.21,    1.38,   -0.70,   -1.32
197205,   -1.46,   -2.56,   -1.66,   -1.60,   -1.12,   -2.55,   -2.65,   -2.00,   -1.39,   -1.56,   -1.64,   -0.84,   -1.40,   -3.10,   -1.98,   -1.90,   -3.11
197206,   -2.75,   -4.33,   -3.04,   -3.79,   -2.70,   -3.25,   -3.72,   -2.52,   -3.46,   -3.58,   -3.98,   -1.88,   -3.53,   -2.94,   -3.59,   -4.78,   -3.06
197207,   -2.31,   -2.51,   -2.17,   -2.69,   -3.55,   -3.24,   -4.49,   -2.47,   -1.89,   -2.95,   -2.42,   -4.19,   -2.81,   -3.22,   -3.26,   -2.99,   -5.62
197208,    1.87,    0.69,    3.04,    1.33,    1.69,    1.18,    0.69,    3.59,    2.54,    2.40,    0.27,    1.40,    2.01,    0.83,    1.58,    1.10,    0.39
197209,   -3.69,   -2.99,   -2.98,   -2.79,   -3.57,   -3.14,   -2.92,   -2.00,   -3.87,   -2.64,   -2.95,   -3.49,   -3.65,   -3.55,   -2.67,   -2.17,   -3.47
197210,   -1.88,   -1.45,   -0.57,   -1.19,   -2.13,   -2.03,   -1.24,   -0.14,   -0.96,   -1.06,   -1.33,   -1.96,   -2.32,   -2.17,   -1.88,    0.61,   -2.61
197211,    4.88,    4.29,    5.28,    4.94,    6.65,    6.09,    5.21,    5.75,    4.86,    4.39,    5.49,    7.77,    5.38,    6.36,    5.77,    7.23,    3.70
197212,   -2.82,   -2.38,   -0.82,   -0.55,   -1.75,   -2.06,   -2.77,   -1.29,   -0.39,    0.23,   -1.34,   -2.52,   -0.89,   -1.95,   -2.18,   -3.39,   -2.31
197301,   -3.15,   -1.32,   -3.56,   -4.89,   -4.54,   -6.91,   -6.44,   -4.30,   -2.88,   -5.39,   -4.38,   -4.12,   -5.01,   -6.78,   -7.06,   -5.35,   -7.25
197302,   -7.33,   -6.90,   -6.23,   -7.20,   -7.68,   -7.87,   -8.62,   -6.21,   -6.25,   -6.62,   -7.77,   -7.12,   -8.32,   -7.18,   -8.66,   -6.79,   -9.98
197303,   -1.90,   -2.04,   -2.13,   -3.28,   -3.09,   -3.33,   -3.10,   -2.39,   -1.89,   -2.82,   -3.74,   -3.19,   -2.97,   -1.61,   -5.31,   -2.13,   -3.82
197304,   -5.92,   -6.15,   -5.94,   -7.00,   -7.24,   -8.54,   -9.43,   -6.22,   -5.69,   -6.52,   -7.47,   -7.45,   -6.99,   -8.25,   -8.87,   -7.15,  -11.11
197305,   -9.15,   -8.63,   -6.14,   -7.21,   -7.15,   -8.76,   -9.13,   -7.57,   -4.84,   -6.35,   -8.07,   -6.87,   -7.47,   -8.19,   -9.42,   -5.57,  -11.78
197306,   -2.32,   -3.65,   -2.98,   -3.29,   -3.21,   -3.48,   -3.98,   -3.25,   -2.72,   -3.03,   -3.54,   -3.55,   -2.83,   -3.21,   -3.78,   -2.11,   -5.36
197307,   11.29,   10.18,   11.50,   11.47,   12.63,   14.31,   14.94,   11.42,   11.57,   10.93,   12.09,   11.38,   13.63,   13.28,   15.40,   11.67,   17.09
197308,   -4.49,   -3.94,   -4.28,   -4.46,   -4.20,   -4.98,   -5.06,   -4.45,   -4.13,   -4.80,   -4.08,   -3.49,   -4.77,   -6.24,   -3.65,   -4.87,   -5.19
197309,    7.67,    6.67,    9.29,    9.31,   10.43,    9.06,   10.49,    9.16,    9.40,    9.22,    9.40,    9.79,   10.95,    8.93,    9.20,    9.81,   10.94
197310,    1.50,    2.11,   -0.65,    0.34,   -0.30,   -1.27,   -2.10,   -1.21,   -0.18,   -0.24,    1.00,    1.18,   -1.49,    0.05,   -2.66,   -1.62,   -2.42
197311,  -17.33,  -16.51,  -17.67,  -18.75,  -18.31,  -20.25,  -20.29,  -17.72,  -17.63,  -18.82,  -18.67,  -18.30,  -18.32,  -20.41,  -20.07,  -18.70,  -21.35
197312,   -3.21,   -3.64,   -3.83,   -2.39,   -2.65,   -3.54,   -3.49,   -3.50,   -4.10,   -2.99,   -1.72,   -1.36,   -3.68,   -4.49,   -2.54,   -3.70,   -3.36
197401,   13.68,   16.55,   12.80,   11.99,   12.73,   12.29,   12.90,   13.59,   12.13,   12.46,   11.45,   11.99,   13.32,   12.86,   11.70,   11.96,   13.52
197402,    1.56,    1.96,    0.96,    0.10,    0.30,   -0.14,    0.18,    0.83,    1.07,    0.80,   -0.70,    0.66,    0.00,   -0.16,   -0.12,    0.19,    0.17
197403,    1.94,    1.21,   -0.25,    0.93,    0.16,    0.18,   -0.42,   -0.58,    0.04,    1.01,    0.84,   -0.23,    0.47,    0.49,   -0.15,    0.37,   -0.95
197404,   -3.87,   -4.20,   -5.37,   -4.62,   -5.56,   -6.74,   -7.35,   -5.38,   -5.36,   -5.04,   -4.15,   -4.96,   -6.04,   -6.21,   -7.29,   -7.86,   -7.01
197405,   -5.98,   -6.32,   -6.90,   -6.52,   -7.38,   -6.56,   -8.63,   -6.68,   -7.09,   -6.02,   -7.08,   -6.45,   -8.12,   -6.58,   -6.55,   -7.07,   -9.68
197406,   -1.31,   -1.91,   -2.57,   -2.39,   -2.72,   -3.69,   -4.36,   -2.12,   -2.95,   -2.13,   -2.67,   -2.65,   -2.78,   -3.02,   -4.40,   -5.24,   -3.77
197407,   -3.81,   -3.52,   -4.98,   -5.58,   -7.53,   -6.96,   -5.00,   -3.80,   -5.84,   -6.14,   -4.95,   -7.11,   -8.00,   -5.59,   -8.24,   -4.54,   -5.31
197408,   -7.34,   -7.08,   -8.80,   -8.82,   -8.18,   -9.12,   -8.79,   -8.45,   -9.05,   -9.28,   -8.31,   -7.79,   -8.62,   -9.54,   -8.73,   -8.58,   -8.93
197409,   -7.16,   -6.88,   -9.04,   -8.93,  -10.56,  -10.49,   -9.53,   -9.35,   -8.81,   -8.97,   -8.89,  -10.32,  -10.82,  -11.07,   -9.96,   -9.03,   -9.87
197410,    9.47,    7.87,   11.61,   12.78,   13.44,   14.06,   11.67,   15.22,    9.00,   11.36,   14.39,   12.80,   14.15,   15.76,   12.50,   11.89,   11.52
197411,   -4.37,   -5.38,   -4.91,   -4.83,   -5.72,   -5.97,   -5.30,   -3.82,   -5.71,   -5.59,   -3.97,   -4.90,   -6.61,   -6.89,   -5.13,   -4.33,   -5.99
197412,   -7.52,   -8.76,   -5.79,   -6.11,   -6.93,   -7.04,   -8.61,   -4.71,   -6.56,   -7.10,   -4.98,   -6.45,   -7.45,   -7.93,   -6.22,   -8.30,   -8.83
197501,   29.30,   31.67,   30.30,   29.11,   29.37,   28.61,   32.52,   28.71,   31.44,   30.38,   27.66,   28.84,   29.95,   29.58,   27.72,   32.86,   32.28
197502,    4.26,    4.99,    5.28,    5.04,    7.45,    6.67,    5.16,    5.12,    5.39,    5.45,    4.56,    6.76,    8.21,    7.39,    6.00,    4.59,    5.58
197503,    8.89,    8.35,    8.51,    9.39,   12.10,    9.46,    8.64,    8.91,    8.22,   10.25,    8.39,   12.38,   11.80,    9.68,    9.26,    9.07,    8.33
197504,    3.86,    2.74,    5.44,    4.39,    4.19,    4.05,    5.07,    5.24,    5.59,    4.15,    4.67,    4.48,    3.88,    4.85,    3.31,    4.61,    5.40
197505,    7.46,    7.41,    7.70,    6.16,    8.84,    9.54,    9.17,    8.76,    6.94,    4.66,    7.89,    9.76,    7.82,    8.15,   10.83,    7.88,   10.09
197506,    8.66,    8.39,    7.71,    6.70,    6.98,    8.14,    8.36,    6.18,    8.84,    5.57,    8.00,    7.99,    5.86,    8.18,    8.10,    8.86,    8.01
197507,    0.08,   -0.19,   -4.05,   -1.89,   -3.85,   -3.57,   -2.67,   -5.53,   -2.84,   -0.44,   -3.46,   -3.40,   -4.33,   -3.58,   -3.56,   -2.84,   -2.52
197508,   -5.06,   -5.63,   -4.23,   -4.38,   -4.84,   -5.80,   -4.84,   -3.29,   -4.99,   -4.56,   -4.19,   -4.66,   -5.03,   -4.39,   -7.12,   -5.88,   -3.93
197509,   -3.13,   -2.74,   -4.98,   -4.70,   -3.21,   -4.61,   -4.52,   -5.23,   -4.78,   -5.37,   -3.96,   -3.02,   -3.42,   -4.98,   -4.26,   -3.92,   -5.06
197510,    2.66,    1.59,    3.76,    4.57,    2.73,    2.83,    2.00,    4.35,    3.28,    5.32,    3.74,    2.65,    2.81,    3.10,    2.59,    2.82,    1.28
197511,    3.18,    2.13,    3.52,    2.19,    2.51,    1.75,    2.07,    3.56,    3.50,    2.93,    1.39,    2.75,    2.24,    1.66,    1.83,    4.00,    0.36
197512,   -0.40,   -0.54,   -0.16,   -0.59,   -0.39,   -1.01,   -0.75,   -0.92,    0.44,   -1.72,    0.63,   -0.73,   -0.01,   -0.15,   -1.82,   -0.73,   -0.77
197601,   22.21,   22.18,   18.14,   18.31,   16.46,   20.44,   16.27,   19.20,   17.27,   19.32,   17.22,   15.13,   17.94,   19.50,   21.30,   14.18,   18.11
197602,   12.81,   13.72,    9.47,    8.62,    9.04,    8.36,    7.23,    9.60,    9.36,    8.79,    8.44,    9.80,    8.20,    7.07,    9.57,    5.71,    8.59
197603,    1.44,    1.77,    1.20,    1.44,    2.74,    2.97,    2.74,    1.34,    1.08,    0.54,    2.39,    2.70,    2.79,    4.05,    1.96,    4.35,    1.29
197604,   -1.35,   -0.99,   -1.35,   -0.23,   -1.68,   -0.59,   -2.11,   -2.88,   -0.11,   -0.50,    0.06,   -1.92,   -1.42,   -1.09,   -0.13,   -2.46,   -1.80
197605,   -2.64,   -2.83,   -2.32,   -2.05,   -1.45,   -2.65,   -0.52,   -2.48,   -2.19,   -2.34,   -1.73,   -2.18,   -0.66,   -2.17,   -3.10,   -0.30,   -0.73
197606,    2.88,    3.00,    3.23,    4.98,    4.40,    4.29,    1.51,    3.63,    2.90,    4.15,    5.88,    5.47,    3.23,    4.59,    4.01,    2.24,    0.86
197607,    0.30,    0.31,    0.19,    0.10,   -0.13,   -0.59,    0.06,    0.80,   -0.29,    0.05,    0.15,   -1.19,    0.74,   -0.70,   -0.47,    0.63,   -0.43
197608,   -1.90,   -1.83,   -2.29,   -1.29,   -2.41,   -2.40,   -1.36,   -1.77,   -2.69,   -1.71,   -0.88,   -2.06,   -2.70,   -1.32,   -3.67,   -2.06,   -0.75
197609,    1.94,    1.27,    1.78,    1.93,    1.56,    2.45,    2.23,    1.30,    2.14,    1.74,    2.11,    2.17,    1.06,    2.26,    2.67,    1.63,    2.75
197610,   -1.92,   -2.59,   -2.90,   -1.64,   -3.41,   -2.80,   -2.17,   -2.05,   -3.56,   -2.13,   -1.17,   -3.52,   -3.32,   -2.68,   -2.95,   -2.58,   -1.81
197611,    2.53,    2.02,    3.80,    2.40,    3.14,    2.11,    3.40,    3.97,    3.66,    2.14,    2.65,    2.16,    3.93,    1.64,    2.67,    3.51,    3.30
197612,   10.18,   11.55,    9.21,    8.11,    8.87,   10.34,    8.75,    8.80,    9.53,    7.79,    8.43,    8.65,    9.05,   10.03,   10.71,    8.76,    8.75
197701,    5.09,    4.95,    0.93,   -0.35,    0.83,    2.33,    2.16,   -0.80,    2.27,   -0.77,    0.06,    1.81,    0.05,    2.69,    1.90,    1.04,    3.14
197702,   -0.21,    0.84,   -0.64,   -0.38,   -0.84,   -0.88,   -1.33,    0.05,   -1.18,   -0.21,   -0.55,    0.00,   -1.52,   -0.73,   -1.05,   -0.91,   -1.70
197703,    1.15,    1.08,   -0.13,    0.36,    0.51,    1.12,    0.78,   -0.41,    0.09,    0.91,   -0.17,    0.23,    0.74,    1.00,    1.26,    0.36,    1.15
197704,    1.54,    2.24,    2.94,    1.00,    1.25,    1.29,    1.50,    2.21,    3.51,    0.86,    1.13,    1.05,    1.42,    1.39,    1.17,    0.38,    2.48
197705,    0.51,    0.97,   -0.97,   -0.49,   -0.26,   -0.78,    0.67,   -0.57,   -1.28,   -0.30,   -0.67,    0.35,   -0.74,   -0.57,   -1.03,    1.23,    0.19
197706,    5.88,    5.07,    5.30,    6.02,    5.32,    7.70,    5.31,    5.91,    4.84,    5.33,    6.70,    4.83,    5.70,    7.99,    7.34,    5.31,    5.32
197707,    1.66,    2.27,   -0.11,   -0.11,   -0.50,   -0.31,    0.56,   -0.32,    0.09,   -0.30,    0.09,   -0.26,   -0.73,    0.37,   -1.07,    0.48,    0.62
197708,    0.06,   -0.81,   -1.06,   -0.43,   -1.15,   -1.11,   -0.73,   -1.02,   -1.10,   -0.93,    0.08,   -1.79,   -0.57,   -1.39,   -0.78,   -0.98,   -0.52
197709,    1.60,    1.14,    0.38,    2.03,    1.41,    0.98,    1.04,    0.79,    0.01,    1.86,    2.20,    1.27,    1.54,    1.03,    0.93,    0.97,    1.10
197710,   -2.36,   -2.01,   -2.91,   -3.20,   -3.08,   -2.21,   -2.72,   -2.46,   -3.33,   -3.79,   -2.59,   -3.16,   -3.01,   -1.34,   -3.20,   -3.79,   -1.80
197711,    7.44,    7.11,    8.04,    7.03,    7.93,    7.17,    6.41,    7.88,    8.18,    7.72,    6.33,    7.28,    8.52,    6.83,    7.55,    7.01,    5.90
