This file was created by CMPT_VAR_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
200608,     437,     554,     692,     811,    2063,     203,     234,     273,     281,     335,     357,     376,     435,     639,    1424
200609,     449,     587,     675,     805,    2050,     225,     224,     290,     297,     330,     345,     390,     415,     573,    1477
200610,     481,     624,     652,     876,    1925,     254,     227,     288,     336,     306,     346,     415,     461,     584,    1341
200611,     466,     585,     672,     873,    1951,     236,     230,     274,     311,     318,     354,     379,     494,     606,    1345
200612,     468,     584,     655,     946,    1879,     229,     239,     261,     323,     324,     331,     464,     482,     500,    1379
200701,     458,     555,     693,     838,    1963,     217,     241,     253,     302,     322,     371,     402,     436,     496,    1467
200702,     436,     544,     691,     840,    1990,     203,     233,     252,     292,     321,     370,     411,     429,     579,    1411
200703,     464,     549,     645,     853,    1993,     222,     242,     260,     289,     306,     339,     404,     449,     538,    1455
200704,     445,     543,     666,     805,    2032,     209,     236,     264,     279,     304,     362,     320,     485,     577,    1455
200705,     444,     553,     650,     821,    2015,     210,     234,     254,     299,     295,     355,     383,     438,     588,    1427
200706,     434,     550,     636,     849,    2005,     220,     214,     275,     275,     279,     357,     368,     481,     645,    1360
200707,     467,     524,     570,     930,    1980,     223,     244,     261,     263,     263,     307,     411,     519,     662,    1318
200708,     458,     522,     607,     842,    2024,     215,     243,     256,     266,     296,     311,     394,     448,     650,    1374
200709,     446,     540,     669,    1063,    1747,     226,     220,     259,     281,     338,     331,     443,     620,     622,    1125
200710,     459,     556,     679,     989,    1770,     225,     234,     258,     298,     305,     374,     491,     498,     570,    1200
200711,     445,     596,     714,     923,    1772,     227,     218,     283,     313,     347,     367,     431,     492,     590,    1182
200712,     436,     545,     719,     898,    1832,     220,     216,     234,     311,     346,     373,     381,     517,     603,    1229
200801,     406,     510,     698,     929,    1876,     212,     194,     246,     264,     336,     362,     422,     507,     595,    1281
200802,     393,     503,     664,     968,    1901,     203,     190,     250,     253,     319,     345,     451,     517,     741,    1160
200803,     431,     500,     715,     894,    1876,     216,     215,     226,     274,     319,     396,     410,     484,     759,    1117
200804,     440,     526,     720,     948,    1782,     229,     211,     225,     301,     349,     371,     424,     524,     705,    1077
200805,     460,     532,     707,     949,    1752,     243,     217,     242,     290,     367,     340,     408,     541,     555,    1197
200806,     429,     569,     686,     843,    1866,     229,     200,     243,     326,     325,     361,     407,     436,     577,    1289
200807,     445,     533,     723,     865,    1807,     218,     227,     235,     298,     344,     379,     398,     467,     522,    1285
200808,     438,     555,     657,     883,    1818,     214,     224,     257,     298,     324,     333,     446,     437,     593,    1225
200809,     424,     565,     711,     870,    1762,     215,     209,     262,     303,     321,     390,     364,     506,     629,    1133
200810,     433,     584,     696,     838,    1751,     220,     213,     279,     305,     343,     353,     393,     445,     744,    1007
200811,     448,     593,     740,     874,    1616,     228,     220,     291,     302,     356,     384,     387,     487,     719,     897
200812,     447,     596,     716,     940,    1547,     244,     203,     306,     290,     309,     407,     432,     508,     673,     874
200901,     454,     602,     666,     951,    1548,     230,     224,     270,     332,     302,     364,     410,     541,     680,     868
200902,     437,     552,     643,     978,    1584,     209,     228,     261,     291,     322,     321,     434,     544,     640,     944
200903,     443,     545,     659,     934,    1580,     217,     226,     262,     283,     329,     330,     388,     546,     561,    1019
200904,     440,     534,     616,     909,    1632,     217,     223,     265,     269,     289,     327,     425,     484,     742,     890
200905,     416,     593,     642,     937,    1520,     205,     211,     280,     313,     288,     354,     383,     554,     709,     811
200906,     409,     555,     626,     959,    1526,     187,     222,     239,     316,     283,     343,     432,     527,     712,     814
200907,     388,     535,     649,     875,    1603,     178,     210,     252,     283,     277,     372,     418,     457,     641,     962
200908,     369,     487,     615,     882,    1679,     176,     193,     232,     255,     274,     341,     399,     483,     612,    1067
200909,     371,     493,     621,     799,    1736,     176,     195,     225,     268,     283,     338,     363,     436,     628,    1108
200910,     374,     518,     578,     846,    1682,     177,     197,     235,     283,     285,     293,     367,     479,     594,    1088
200911,     365,     502,     620,     770,    1710,     171,     194,     236,     266,     321,     299,     339,     431,     578,    1132
200912,     361,     469,     637,     736,    1745,     168,     193,     207,     262,     314,     323,     311,     425,     609,    1136
201001,     344,     469,     586,     813,    1725,     159,     185,     207,     262,     281,     305,     389,     424,     552,    1173
201002,     331,     460,     609,     784,    1744,     154,     177,     218,     242,     304,     305,     326,     458,     571,    1173
201003,     329,     500,     576,     803,    1715,     155,     174,     240,     260,     263,     313,     350,     453,     555,    1160
201004,     340,     476,     632,     735,    1731,     155,     185,     233,     243,     293,     339,     332,     403,     559,    1172
201005,     351,     464,     656,     788,    1649,     153,     198,     207,     257,     308,     348,     347,     441,     519,    1130
201006,     341,     479,     623,     769,    1693,     152,     189,     214,     265,     323,     300,     355,     414,     541,    1152
201007,     344,     487,     635,     802,    1610,     157,     187,     222,     265,     309,     326,     352,     450,     480,    1130
201008,     343,     479,     602,     776,    1682,     160,     183,     219,     260,     314,     288,     362,     414,     502,    1180
201009,     333,     492,     580,     782,    1693,     157,     176,     228,     264,     298,     282,     341,     441,     464,    1229
201010,     334,     471,     630,     750,    1688,     161,     173,     217,     254,     299,     331,     313,     437,     492,    1196
201011,     356,     435,     568,     789,    1711,     165,     191,     218,     217,     283,     285,     356,     433,     558,    1153
201012,     356,     464,     592,     751,    1664,     165,     191,     228,     236,     271,     321,     351,     400,     504,    1160
201101,     342,     471,     590,     828,    1581,     158,     184,     226,     245,     291,     299,     379,     449,     499,    1082
201102,     331,     465,     608,     748,    1654,     149,     182,     216,     249,     278,     330,     308,     440,     476,    1178
201103,     343,     523,     592,     716,    1624,     154,     189,     238,     285,     297,     295,     322,     394,     528,    1096
201104,     372,     513,     594,     695,    1614,     167,     205,     235,     278,     301,     293,     325,     370,     495,    1119
201105,     373,     509,     599,     737,    1557,     168,     205,     248,     261,     305,     294,     358,     379,     505,    1052
201106,     366,     508,     575,     759,    1540,     160,     206,     238,     270,     282,     293,     365,     394,     474,    1066
201107,     342,     509,     550,     760,    1572,     153,     189,     236,     273,     282,     268,     370,     390,     512,    1060
201108,     349,     492,     572,     764,    1559,     158,     191,     236,     256,     276,     296,     358,     406,     512,    1047
201109,     344,     480,     584,     807,    1518,     165,     179,     219,     261,     258,     326,     363,     444,     502,    1016
201110,     363,     477,     591,     808,    1489,     168,     195,     208,     269,     270,     321,     357,     451,     483,    1006
201111,     362,     486,     562,     804,    1503,     164,     198,     230,     256,     280,     282,     368,     436,     499,    1004
201112,     350,     521,     546,     795,    1484,     164,     186,     253,     268,     249,     297,     354,     441,     492,     992
201201,     354,     481,     578,     822,    1442,     160,     194,     219,     262,     259,     319,     339,     483,     466,     976
201202,     368,     487,     563,     781,    1467,     164,     204,     217,     270,     269,     294,     366,     415,     494,     973
201203,     391,     491,     572,     708,    1499,     173,     218,     234,     257,     277,     295,     316,     392,     533,     966
201204,     397,     504,     585,     690,    1476,     175,     222,     246,     258,     290,     295,     311,     379,     489,     987
201205,     369,     485,     597,     693,    1498,     168,     201,     241,     244,     272,     325,     318,     375,     512,     986
201206,     381,     468,     573,     772,    1444,     170,     211,     243,     225,     269,     304,     362,     410,     460,     984
201207,     367,     499,     555,     768,    1441,     164,     203,     235,     264,     266,     289,     372,     396,     473,     968
201208,     380,     521,     562,     791,    1370,     163,     217,     235,     286,     260,     302,     366,     425,     488,     882
201209,     386,     512,     592,     776,    1345,     170,     216,     243,     269,     290,     302,     394,     382,     490,     855
201210,     394,     510,     581,     779,    1326,     170,     224,     248,     262,     269,     312,     379,     400,     526,     800
201211,     396,     495,     619,     778,    1302,     178,     218,     258,     237,     313,     306,     355,     423,     493,     809
201212,     360,     518,     601,     797,    1293,     161,     199,     253,     265,     293,     308,     363,     434,     413,     880
201301,     370,     501,     606,     788,    1302,     164,     206,     232,     269,     290,     316,     373,     415,     473,     829
201302,     365,     442,     585,     767,    1413,     164,     201,     204,     238,     295,     290,     340,     427,     513,     900
201303,     382,     471,     583,     772,    1352,     179,     203,     209,     262,     269,     314,     334,     438,     451,     901
201304,     378,     483,     571,     728,    1386,     175,     203,     238,     245,     254,     317,     349,     379,     481,     905
201305,     397,     497,     586,     672,    1384,     163,     234,     236,     261,     275,     311,     344,     328,     528,     856
201306,     382,     487,     570,     673,    1415,     179,     203,     255,     232,     271,     299,     312,     361,     550,     865
201307,     369,     477,     611,     678,    1382,     177,     192,     220,     257,     275,     336,     314,     364,     536,     846
201308,     360,     453,     623,     693,    1394,     172,     188,     214,     239,     310,     313,     331,     362,     458,     936
201309,     362,     446,     621,     704,    1396,     174,     188,     219,     227,     294,     327,     336,     368,     537,     859
201310,     379,     463,     575,     716,    1400,     196,     183,     206,     257,     266,     309,     312,     404,     504,     896
201311,     405,     460,     559,     699,    1408,     205,     200,     214,     246,     244,     315,     327,     372,     515,     893
201312,     372,     480,     556,     759,    1361,     196,     176,     225,     255,     254,     302,     342,     417,     440,     921
201401,     384,     491,     576,     733,    1361,     188,     196,     225,     266,     255,     321,     355,     378,     468,     893
201402,     386,     483,     569,     717,    1396,     184,     202,     227,     256,     257,     312,     361,     356,     473,     923
201403,     403,     514,     571,     694,    1381,     201,     202,     250,     264,     275,     296,     338,     356,     499,     882
201404,     401,     518,     574,     700,    1369,     203,     198,     259,     259,     272,     302,     325,     375,     476,     893
201405,     421,     505,     601,     674,    1375,     210,     211,     220,     285,     300,     301,     312,     362,     487,     888
201406,     421,     464,     573,     725,    1407,     204,     217,     207,     257,     295,     278,     346,     379,     489,     918
201407,     397,     445,     617,     728,    1424,     182,     215,     215,     230,     307,     310,     314,     414,     493,     931
201408,     392,     490,     585,     738,    1419,     187,     205,     239,     251,     273,     312,     331,     407,     508,     911
201409,     417,     489,     586,     750,    1386,     205,     212,     239,     250,     264,     322,     371,     379,     547,     839
201410,     427,     508,     575,     723,    1416,     214,     213,     241,     267,     269,     306,     356,     367,     582,     834
201411,     449,     494,     588,     719,    1415,     206,     243,     224,     270,     275,     313,     343,     376,     554,     861
201412,     440,     506,     576,     790,    1341,     195,     245,     242,     264,     296,     280,     341,     449,     525,     816
201501,     432,     534,     602,     746,    1343,     197,     235,     270,     264,     289,     313,     328,     418,     531,     812
201502,     456,     491,     640,     728,    1350,     205,     251,     236,     255,     319,     321,     361,     367,     522,     828
201503,     472,     520,     627,     685,    1365,     222,     250,     271,     249,     297,     330,     337,     348,     584,     781
201504,     478,     498,     640,     720,    1336,     234,     244,     268,     230,     283,     357,     363,     357,     537,     799
201505,     476,     513,     598,     743,    1345,     233,     243,     280,     233,     302,     296,     348,     395,     521,     824
201506,     450,     499,     607,     762,    1352,     216,     234,     218,     281,     300,     307,     361,     401,     523,     829
201507,     430,     469,     590,     798,    1367,     205,     225,     239,     230,     282,     308,     385,     413,     493,     874
201508,     407,     498,     594,     822,    1337,     188,     219,     244,     254,     293,     301,     336,     486,     481,     856
201509,     405,     533,     598,     794,    1328,     181,     224,     262,     271,     301,     297,     373,     421,     588,     740
201510,     424,     527,     593,     838,    1288,     194,     230,     263,     264,     303,     290,     406,     432,     536,     752
201511,     434,     556,     606,     770,    1323,     194,     240,     279,     277,     275,     331,     343,     427,     593,     730
201512,     437,     569,     595,     766,    1306,     211,     226,     276,     293,     294,     301,     329,     437,     563,     743
201601,     453,     546,     618,     836,    1205,     209,     244,     275,     271,     301,     317,     361,     475,     528,     677
201602,     440,     551,     620,     803,    1232,     192,     248,     265,     286,     308,     312,     359,     444,     535,     697
201603,     474,     561,     627,     834,    1148,     206,     268,     249,     312,     328,     299,     402,     432,     517,     631
201604,     477,     553,     644,     796,    1161,     217,     260,     259,     294,     328,     316,     349,     447,     542,     619
201605,     477,     551,     640,     765,    1168,     241,     236,     258,     293,     327,     313,     336,     429,     553,     615
201606,     449,     547,     620,     678,    1299,     225,     224,     271,     276,     304,     316,     274,     404,     577,     722
201607,     463,     506,     629,     692,    1277,     226,     237,     241,     265,     327,     302,     327,     365,     557,     720
201608,     434,     520,     618,     699,    1281,     197,     237,     241,     279,     332,     286,     332,     367,     512,     769
201609,     428,     523,     613,     747,    1230,     194,     234,     236,     287,     305,     308,     339,     408,     437,     793
201610,     459,     489,     588,     759,    1240,     204,     255,     228,     261,     270,     318,     356,     403,     431,     809
201611,     476,     475,     569,     718,    1293,     255,     221,     234,     241,     261,     308,     342,     376,     478,     815
201612,     479,     489,     588,     650,    1301,     226,     253,     240,     249,     275,     313,     320,     330,     470,     831


  Average Firm Size
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    843.21,    263.52,    156.77,     77.57,     19.48,   1327.80,    358.61,    308.19,    220.46,    196.45,    117.90,     94.57,     60.87,     34.56,     14.02
196308,    845.76,    235.56,    159.43,     75.43,     20.99,   1305.15,    362.72,    258.61,    212.34,    210.52,    107.98,    102.82,     51.44,     39.43,     14.17
196309,    850.63,    267.86,    173.58,     88.04,     21.94,   1331.47,    386.71,    309.48,    223.45,    174.66,    172.49,    112.30,     65.16,     43.68,     14.25
196310,    906.87,    244.79,    149.68,     89.79,     23.25,   1315.64,    504.17,    251.78,    237.49,    155.38,    144.18,    117.26,     66.65,     41.68,     16.84
196311,    901.96,    262.16,    166.52,     93.32,     26.45,   1156.78,    631.23,    297.45,    228.32,    200.08,    134.72,    113.54,     74.53,     46.93,     19.24
196312,    774.31,    362.12,    146.52,     83.63,     29.70,    857.41,    695.33,    437.64,    289.37,    151.34,    142.02,    106.36,     62.36,     52.72,     21.48
196401,    805.65,    370.58,    155.30,     90.12,     27.76,    935.97,    672.40,    330.15,    408.94,    187.33,    126.08,     96.64,     84.25,     47.91,     20.99
196402,    798.87,    416.62,    189.77,     75.62,     28.45,   1155.08,    434.44,    506.80,    324.42,    229.82,    149.14,     96.63,     55.35,     45.39,     22.29
196403,    921.58,    344.57,    178.87,     77.69,     26.73,   1107.74,    720.42,    457.38,    221.50,    231.85,    132.29,     89.80,     67.06,     43.56,     20.90
196404,    938.49,    338.28,    160.05,     82.77,     27.74,   1310.62,    549.19,    460.84,    221.81,    169.80,    149.80,    105.18,     60.63,     52.05,     19.17
196405,   1026.75,    242.76,    154.52,     80.47,     25.07,   1571.20,    466.05,    310.21,    184.89,    174.18,    133.24,     91.65,     69.75,     47.02,     16.28
196406,   1038.35,    247.70,    162.00,     82.27,     28.24,   1421.09,    631.87,    282.62,    213.73,    199.26,    125.28,    102.67,     64.99,     58.61,     17.33
196407,   1013.27,    292.96,    146.34,     80.90,     29.00,   1465.12,    534.03,    302.61,    283.51,    147.04,    145.67,     88.69,     74.08,     63.57,     16.80
196408,    948.15,    355.65,    170.36,     81.77,     27.65,   1466.70,    383.16,    474.38,    245.33,    188.44,    152.90,    112.22,     58.43,     60.38,     16.61
196409,    981.39,    282.66,    160.57,     88.33,     27.11,   1517.38,    422.42,    291.69,    273.96,    177.19,    146.05,    117.24,     63.63,     54.59,     15.86
196410,   1029.60,    289.67,    168.96,     99.30,     27.10,   1538.62,    501.72,    315.22,    264.11,    160.96,    176.73,    124.76,     77.22,     58.26,     16.10
196411,    992.91,    327.29,    170.79,     97.56,     25.03,   1501.83,    483.99,    396.89,    254.08,    176.60,    164.73,    118.22,     80.22,     55.67,     14.81
196412,    856.33,    450.25,    180.54,     89.21,     24.60,   1319.12,    403.18,    596.64,    309.20,    184.95,    176.14,    111.72,     69.46,     53.95,     14.52
196501,    978.73,    312.01,    194.01,    105.96,     26.40,   1361.07,    582.53,    423.39,    210.68,    256.36,    138.06,    143.34,     69.04,     49.21,     18.14
196502,   1035.93,    335.38,    193.94,    109.70,     25.70,   1456.44,    573.36,    451.17,    220.41,    207.68,    180.65,    147.82,     77.12,     50.00,     17.04
196503,   1077.83,    311.99,    190.87,    108.46,     24.91,   1647.58,    495.41,    390.82,    240.47,    203.08,    177.91,    121.10,     95.75,     42.78,     18.47
196504,   1116.45,    304.20,    189.82,     98.01,     24.17,   1707.67,    497.73,    390.95,    220.51,    205.42,    174.53,    129.36,     74.10,     43.73,     16.13
196505,   1139.72,    359.80,    178.36,    110.23,     24.23,   1667.70,    603.62,    336.72,    383.24,    187.34,    169.76,    140.05,     83.90,     44.33,     17.63
196506,   1031.99,    438.93,    198.86,    100.55,     23.46,   1438.90,    609.32,    619.68,    270.06,    198.10,    199.61,    128.77,     77.43,     42.73,     16.86
196507,    982.47,    399.89,    167.98,    103.43,     22.22,   1375.62,    597.93,    554.40,    240.66,    188.94,    146.40,    127.06,     80.20,     41.22,     15.10
196508,   1074.95,    270.28,    178.99,    102.08,     24.27,   1497.23,    658.71,    326.13,    216.77,    186.55,    171.62,    134.65,     73.90,     43.46,     15.91
196509,   1020.81,    311.53,    209.00,     93.73,     26.93,   1582.41,    463.13,    357.85,    269.02,    227.28,    193.80,     97.99,     89.75,     44.75,     18.50
196510,    987.37,    347.78,    249.88,     89.86,     31.29,   1484.73,    471.99,    389.67,    304.08,    268.17,    231.47,    123.41,     62.95,     62.48,     18.48
196511,    997.63,    370.98,    250.88,    101.75,     29.42,   1516.53,    496.75,    432.85,    311.24,    332.15,    171.19,    118.13,     87.76,     51.05,     19.64
196512,   1060.23,    374.08,    212.96,    105.15,     33.27,   1455.56,    661.99,    397.28,    350.37,    208.51,    217.50,    118.78,     93.92,     61.98,     21.48
196601,   1067.65,    393.69,    192.35,    116.11,     36.62,   1516.30,    612.50,    436.15,    351.54,    201.08,    183.73,    154.75,     86.48,     66.47,     22.72
196602,   1030.96,    419.78,    226.20,    122.01,     36.84,   1378.06,    671.02,    499.10,    340.45,    280.31,    174.58,    138.54,    108.49,     65.46,     25.00
196603,   1036.69,    380.47,    225.62,    122.46,     37.71,   1517.81,    552.06,    404.60,    357.34,    277.38,    176.97,    144.02,    103.70,     56.30,     29.58
196604,   1034.46,    322.68,    222.94,    123.93,     40.27,   1418.97,    618.38,    368.25,    275.07,    265.18,    183.06,    131.94,    117.26,     68.00,     27.83
196605,    952.05,    410.93,    215.49,    130.25,     44.64,   1535.56,    372.57,    400.19,    421.99,    263.50,    169.39,    159.65,    105.04,     82.86,     30.77
196606,    951.51,    340.05,    207.94,    116.75,     43.09,   1343.40,    528.17,    358.33,    320.70,    267.25,    154.16,    133.32,    102.02,     80.92,     28.03
196607,    924.78,    352.20,    190.53,    125.47,     42.75,   1250.59,    603.60,    427.84,    279.64,    263.16,    127.38,    138.63,    113.44,     76.07,     29.83
196608,    877.90,    337.65,    204.14,    111.15,     45.55,   1082.06,    653.02,    405.09,    274.68,    270.96,    139.10,    117.99,    104.56,     87.85,     27.12
196609,    760.83,    291.51,    168.48,    126.54,     41.89,   1062.44,    428.85,    354.98,    228.92,    190.58,    147.65,    160.23,     96.59,     79.60,     25.41
196610,    700.94,    303.65,    192.89,    128.97,     43.29,    992.88,    372.52,    342.64,    266.18,    213.58,    171.26,    166.66,     95.41,     95.15,     22.68
196611,    746.12,    294.40,    221.65,    118.20,     44.50,    872.98,    605.54,    294.40,    294.40,    249.96,    192.22,    133.02,    104.32,     93.40,     21.73
196612,    729.60,    344.32,    208.12,    128.84,     44.24,    889.58,    554.28,    351.11,    337.67,    230.91,    185.18,    169.38,     96.41,     91.19,     23.89
196701,    796.66,    331.54,    220.00,    127.53,     33.87,   1010.22,    544.42,    391.97,    279.53,    220.49,    219.55,    181.97,     86.51,     63.48,     21.10
196702,    946.84,    340.25,    238.27,    131.12,     33.56,   1199.19,    672.85,    359.06,    322.22,    265.81,    209.38,    150.98,    113.98,     53.65,     24.73
196703,   1029.31,    338.16,    219.09,    116.67,     33.75,   1272.21,    788.11,    357.52,    319.20,    287.08,    158.71,    161.14,     77.14,     57.29,     23.17
196704,   1093.99,    357.55,    220.06,    119.88,     35.91,   1453.35,    737.22,    397.02,    321.67,    259.18,    184.80,    156.42,     93.09,     59.73,     25.98
196705,   1097.64,    420.97,    261.38,    111.63,     38.10,   1441.54,    743.38,    478.89,    366.54,    264.55,    258.25,    129.29,     96.86,     68.08,     26.56
196706,    950.13,    493.56,    243.35,    114.80,     36.45,   1285.45,    607.36,    594.37,    388.20,    275.47,    215.40,    136.43,     94.93,     55.29,     28.55
196707,    955.84,    495.10,    279.14,    106.45,     40.91,   1380.36,    537.48,    473.41,    515.30,    339.55,    224.97,    129.61,     86.79,     75.77,     26.98
196708,   1050.48,    423.13,    321.90,    131.77,     43.80,   1060.04,   1040.64,    424.01,    422.27,    401.14,    245.40,    176.25,     94.94,     78.21,     30.07
196709,   1099.72,    379.49,    290.36,    149.33,     41.80,    966.44,   1243.34,    418.62,    338.64,    342.18,    240.93,    197.54,    109.15,     65.79,     31.27
196710,   1096.22,    430.16,    282.51,    152.13,     44.94,   1043.25,   1153.66,    424.17,    436.33,    333.62,    236.72,    183.26,    122.85,     70.13,     33.59
196711,   1096.00,    388.15,    248.75,    148.94,     47.40,   1496.18,    689.98,    418.55,    359.93,    252.59,    245.01,    176.35,    121.70,     79.54,     34.35
196712,   1016.32,    456.55,    236.91,    155.82,     50.60,   1464.55,    564.90,    510.38,    404.67,    253.27,    220.78,    199.09,    116.39,     85.41,     34.98
196801,   1048.37,    453.51,    290.94,    159.72,     53.01,   1566.88,    544.17,    522.37,    385.14,    277.36,    303.73,    198.14,    126.94,     72.78,     43.68
196802,   1099.09,    382.81,    262.42,    157.34,     50.77,   1425.04,    746.60,    444.39,    322.16,    297.28,    228.98,    209.64,    113.72,     68.52,     42.22
196803,   1061.63,    417.82,    222.76,    145.93,     47.74,   1398.54,    683.25,    465.90,    368.62,    250.44,    194.33,    176.41,    120.88,     71.05,     37.86
196804,   1078.80,    376.06,    244.41,    133.97,     52.59,   1574.55,    533.47,    444.08,    315.44,    276.96,    213.87,    148.83,    121.99,     84.86,     38.92
196805,   1151.26,    421.83,    267.67,    153.67,     60.79,   1666.52,    632.23,    525.89,    316.98,    253.03,    281.33,    190.19,    121.06,     95.47,     44.92
196806,   1212.22,    473.13,    252.89,    155.12,     60.19,   1708.08,    712.69,    563.41,    385.70,    284.10,    222.11,    211.42,    108.39,     97.37,     45.29
196807,   1352.25,    392.73,    289.22,    147.82,     56.64,   1803.89,    893.55,    434.02,    352.07,    281.49,    296.22,    171.99,    128.61,     85.31,     44.78
196808,   1246.71,    492.80,    232.21,    151.76,     54.20,   1346.30,   1147.89,    606.51,    386.90,    256.56,    210.33,    181.71,    127.93,     67.82,     48.39
196809,   1258.27,    475.77,    245.10,    160.91,     56.48,   1385.11,   1128.43,    571.68,    383.52,    263.19,    228.91,    178.26,    146.14,     78.09,     46.75
196810,   1293.13,    467.11,    261.76,    173.14,     64.93,   1647.61,    918.80,    506.11,    426.61,    295.16,    228.84,    216.42,    132.79,     82.55,     56.16
196811,   1352.64,    430.44,    277.31,    161.73,     66.01,   1690.13,    995.94,    475.94,    384.58,    285.00,    269.87,    192.41,    137.15,     82.51,     58.07
196812,   1423.53,    453.33,    309.07,    155.44,     73.89,   1907.23,    895.49,    529.12,    381.36,    384.83,    240.74,    179.43,    137.15,    109.63,     57.67
196901,   1312.48,    494.10,    311.52,    153.09,     78.09,   1948.93,    661.01,    548.10,    441.63,    315.76,    307.50,    163.21,    144.08,     99.13,     66.01
196902,   1243.70,    467.19,    308.73,    161.26,     79.05,   1813.35,    661.31,    588.66,    355.98,    350.99,    270.53,    181.73,    143.23,    107.44,     62.98
196903,   1219.36,    414.77,    265.90,    167.15,     69.34,   1597.04,    800.06,    482.80,    348.16,    309.78,    224.26,    195.44,    144.11,     92.26,     55.92
196904,   1257.14,    406.61,    277.56,    196.43,     66.86,   1616.88,    842.72,    443.70,    368.43,    317.81,    240.83,    225.25,    172.13,     90.58,     53.79
196905,   1153.77,    516.02,    296.21,    179.85,     67.08,   1613.30,    687.62,    528.69,    503.89,    309.77,    283.71,    252.14,    118.34,     97.66,     50.84
196906,   1148.36,    511.80,    296.37,    192.56,     61.78,   1523.25,    742.92,    533.81,    491.32,    339.78,    257.76,    267.76,    134.31,     85.14,     50.29
196907,   1069.76,    501.86,    292.81,    144.75,     55.78,   1584.55,    547.72,    488.40,    514.45,    346.66,    243.14,    195.68,    105.01,     81.19,     44.36
196908,   1036.34,    415.50,    263.39,    146.45,     52.02,   1509.53,    542.59,    408.29,    422.77,    311.48,    216.81,    168.63,    127.06,     74.79,     41.02
196909,   1055.26,    465.30,    238.66,    149.19,     56.48,   1643.06,    455.05,    587.98,    342.62,    257.94,    219.74,    206.51,    101.30,     79.25,     45.11
196910,   1063.82,    403.50,    244.51,    138.52,     55.79,   1417.93,    704.76,    396.46,    410.13,    321.51,    175.91,    152.07,    126.67,     82.06,     42.06
196911,   1130.87,    432.32,    261.73,    145.63,     56.86,   1582.20,    644.09,    493.85,    374.09,    292.23,    231.42,    152.32,    140.14,     87.70,     42.25
196912,   1065.35,    462.99,    247.28,    142.31,     50.68,   1499.76,    599.47,    564.50,    373.05,    323.75,    178.69,    170.17,    118.71,     79.71,     38.55
197001,   1083.32,    503.99,    233.45,    127.30,     44.38,   1399.80,    760.10,    548.25,    459.40,    222.84,    243.33,    147.89,    109.96,     68.36,     34.10
197002,   1008.68,    417.87,    200.37,    128.08,     42.74,   1371.08,    617.81,    448.78,    387.78,    208.51,    193.03,    157.63,     98.69,     66.76,     31.82
197003,    966.45,    411.51,    232.06,    153.67,     51.61,   1358.22,    561.62,    498.05,    322.69,    263.18,    202.08,    190.74,    124.13,     82.55,     37.18
197004,    935.43,    413.90,    224.82,    160.62,     49.50,   1330.54,    527.33,    469.83,    364.38,    269.00,    180.37,    199.22,    126.20,     74.26,     37.83
197005,    902.83,    348.78,    223.20,    105.63,     38.33,   1309.58,    509.03,    358.26,    339.44,    228.10,    218.52,    124.71,     90.54,     66.68,     25.98
197006,    947.28,    292.72,    186.62,     93.11,     30.05,   1326.39,    555.37,    343.14,    245.60,    205.79,    168.44,     88.58,     97.73,     43.52,     24.66
197007,    896.91,    297.11,    146.88,     85.37,     29.88,   1276.81,    468.85,    326.06,    269.11,    170.55,    125.70,    114.21,     59.31,     48.05,     21.52
197008,    921.46,    324.00,    173.51,     94.17,     28.98,   1272.31,    516.63,    369.15,    281.44,    202.90,    144.63,    101.95,     86.54,     42.79,     21.88
197009,    917.31,    357.87,    189.36,     88.99,     32.62,   1289.75,    517.75,    411.63,    305.84,    217.36,    162.58,    104.78,     75.02,     47.97,     23.95
197010,    993.26,    384.96,    178.81,    105.69,     34.28,   1343.71,    579.79,    389.08,    381.09,    212.41,    149.32,    130.74,     84.34,     46.46,     26.68
197011,   1036.23,    403.32,    177.97,     82.81,     29.76,   1499.96,    543.11,    443.22,    362.60,    195.98,    160.36,    102.73,     64.40,     41.65,     23.23
197012,   1152.12,    375.53,    202.34,     85.87,     27.38,   1694.73,    601.93,    416.60,    337.20,    236.34,    167.53,    112.80,     61.11,     39.55,     20.64
197101,   1289.16,    388.70,    187.29,     95.72,     27.37,   1930.20,    620.44,    393.44,    384.66,    195.56,    179.25,    121.79,     74.17,     41.88,     19.72
197102,   1305.64,    437.96,    225.99,    107.98,     29.88,   1982.11,    638.70,    529.24,    356.49,    276.64,    178.33,    126.00,     91.73,     47.48,     21.80
197103,   1310.75,    455.67,    242.15,    121.50,     33.15,   1778.95,    811.11,    562.00,    359.51,    291.71,    197.64,    159.45,     86.97,     58.08,     22.44
